# 벌칙 파일 형식: 번호|한국어벌칙|베트남어벌칙
# 이 파일을 수정하여 벌칙을 추가/삭제/변경할 수 있습니다.

1|상대방 앞에서 섹시 댄스 1분|Nhảy sexy trước mặt đối phương 1 phút
2|상대방 발가락 하나씩 입으로 빨기 1분|Mút từng ngón chân đối phương bằng miệng 1 phút
3|나체로 방 한 바퀴 천천히 걷기|Khỏa thân đi vòng quanh phòng chậm rãi
4|상대방이 원하는 곳에 키스 2분|Hôn vị trí đối phương muốn trong 2 phút
5|상대방 앞에서 천천히 옷 한 벌 벗기|Cởi một lớp quần áo chậm rãi trước mặt đối phương
6|상대방이 시키는 야한 포즈 3가지 취하기|Tạo 3 tư thế gợi cảm theo lệnh đối phương
7|귀에 대고 가장 야한 말 속삭이기|Thì thầm câu gợi cảm nhất vào tai đối phương
8|상대방 겨드랑이 핥기 1분|Liếm nách đối phương 1 phút
9|눈 가리고 상대방 몸 전체 손으로 탐색 2분|Bịt mắt dùng tay khám phá toàn thân đối phương 2 phút
10|상대방 유두 빨기 2분|Mút núm vú đối phương 2 phút
11|상대방이 시키는 대로 속옷만 입고 춤추기 2분|Mặc đồ lót nhảy theo lệnh đối phương 2 phút
12|상대방 전신 구석구석 혀로 핥기 3분|Liếm khắp toàn thân đối phương bằng lưỡi 3 phút
13|상대방 성기를 혀로 핥고 입으로 빨기 3분|Liếm và mút bộ phận sinh dục đối phương 3 phút
14|상대방이 원하는 자세, 원하는 방법으로 5분|Theo tư thế & cách đối phương muốn trong 5 phút
15|상대방이 원하는 것 무엇이든 10분 (거절 불가)|Bất kỳ điều gì đối phương muốn 10 phút (không được từ chối)
